elem_index,file_section_id,file_section_name,file_loc_from,file_loc_to,file_lane_name,treat_2023,reason_2023,comment_2023,treat_2024,reason_2024,comment_2024,treat_2025,reason_2025,comment_2025,treat_2026,reason_2026,comment_2026,treat_2027,reason_2027,comment_2027,treat_2028,reason_2028,comment_2028,treat_2029,reason_2029,comment_2029,treat_2030,reason_2030,comment_2030,treat_2031,reason_2031,comment_2031,treat_2032,reason_2032,comment_2032,treat_2033,reason_2033,comment_2033,treat_2034,reason_2034,comment_2034,treat_2035,reason_2035,comment_2035,treat_2036,reason_2036,comment_2036,treat_2037,reason_2037,comment_2037,treat_2038,reason_2038,comment_2038,treat_2039,reason_2039,comment_2039,treat_2040,reason_2040,comment_2040,treat_2041,reason_2041,comment_2041,treat_2042,reason_2042,comment_2042,treat_2043,reason_2043,comment_2043
11,9,Kowhai Glen,0,305,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.02; sdi =4.84; age =38,mesh_cracks =1.03; shove =0.33; poth =0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1037,Epiha Road Upper,0,415,All,,,,,,,,,,,,,ChipSeal_P,pdi =4.35; sdi =4.8; age =13,mesh_cracks =0.46; shove =1.16; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.51; sdi =12.67; age =9,mesh_cracks =1.25; shove =1; poth =1,,,,,,,,,,,,,,,,,,
13,1038,Gossey Drive North,1319,1723,All,,,,,,,,,,,,,ChipSeal_P,pdi =4.35; sdi =4.35; age =13,mesh_cracks =0.46; shove =1.16; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.51; sdi =12.68; age =9,mesh_cracks =1.26; shove =1; poth =1,,,,,,,,,,,,,,,,,,
14,10,Upper Ahu Ahu Road,0,46,All,,,,ChipSeal_P,committed,committed import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.77; sdi =2.29; age =13,mesh_cracks =5.57; shove =0; poth =0,,,,,,,,,,,,,,,
15,10,Upper Ahu Ahu Road,46,68,All,,,,,,,,,,,,,,,,,,,,,,,,,Preseal_AC,pdi =10.16; sdi =9.68; age =19,mesh_cracks =2.76; shove =1.44; poth =0.54,,,,,,,ThinAC_H,pdi =0.2; sdi =0.5; age =2,mesh_cracks =0; shove =0; poth =0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,Lower Ahu Ahu Road,0,158,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.49; sdi =5.84; age =12,mesh_cracks =0.58; shove =1.15; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11,Lower Ahu Ahu Road,158,179,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =4.89; sdi =6.28; age =20,mesh_cracks =1.12; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,
18,12,Kriletich Drive,0,263,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.94; sdi =6.07; age =39,mesh_cracks =0.8; shove =0.35; poth =0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,917,Port Street East,0,21,All,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.4; sdi =5.62; age =24,mesh_cracks =0.65; shove =0.42; poth =0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,917,Port Street East,21,396,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.89; sdi =5.2; age =13,mesh_cracks =1.66; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,
21,917,Port Street East,396,874,All,,,,,,,,,,ChipSeal_P,pdi =1.89; sdi =3.16; age =21,mesh_cracks =0.22; shove =0.15; poth =0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.39; sdi =13.19; age =16,mesh_cracks =1.19; shove =0; poth =1
22,917,Port Street East,874,1340,All,,,,,,,ChipSeal_P,pdi =2.32; sdi =2.86; age =20,mesh_cracks =1.1; shove =0.07; poth =0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.39; sdi =13.19; age =16,mesh_cracks =1.19; shove =0; poth =1,,,
23,917,Port Street East,1340,1431,All,,,,,,,ChipSeal_P,pdi =0.91; sdi =2.35; age =20,mesh_cracks =0.1; shove =0.07; poth =0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.3; sdi =13.17; age =16,mesh_cracks =1.1; shove =0; poth =1,,,
24,917,Port Street East,1431,2115,All,,,,,,,,,,ChipSeal_P,pdi =3.04; sdi =4.31; age =18,mesh_cracks =0.2; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.29; sdi =13.05; age =16,mesh_cracks =1.09; shove =0; poth =1
25,917,Port Street East,2120,2350,All,,,,,,,,,,ChipSeal_P,pdi =3.04; sdi =3.91; age =18,mesh_cracks =0.2; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.29; sdi =13.05; age =16,mesh_cracks =1.09; shove =0; poth =1
26,13,Puriri Dale Way,0,293,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.94; sdi =5.45; age =22,mesh_cracks =0.83; shove =0.35; poth =0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,15,Fendall Close,0,438,All,,,,,,,,,,ChipSeal_P,pdi =3.34; sdi =4.29; age =13,mesh_cracks =1.38; shove =0.16; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.37; sdi =12.37; age =8,mesh_cracks =1.14; shove =0; poth =1,,,,,,,,,,,,,,,,,,,,,,,,
28,15,Fendall Close,438,585,All,,,,,,,,,,,,,ChipSeal_P,pdi =3.29; sdi =3.43; age =10,mesh_cracks =1.19; shove =1; poth =0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.2; sdi =11.99; age =9,mesh_cracks =1; shove =0; poth =1,,,,,,,,,,,,,,,,,,
29,15,Fendall Close,585,643,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.95; sdi =5.69; age =18,mesh_cracks =1.43; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,
30,15,Fendall Close,643,736,All,,,,,,,,,,,,,ChipSeal_P,pdi =7.34; sdi =5.81; age =10,mesh_cracks =3.76; shove =1.08; poth =0.18,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.62; sdi =12.9; age =8,mesh_cracks =1.36; shove =0; poth =1,,,,,,,,,,,,,,,,,,,,,
31,15,Fendall Close,736,814,All,,,,,,,ChipSeal_P,pdi =2.12; sdi =1.07; age =23,mesh_cracks =0.19; shove =1.12; poth =0.08,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.61; sdi =12.87; age =8,mesh_cracks =1.35; shove =0; poth =1,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.89; sdi =13.18; age =8,mesh_cracks =1.62; shove =1; poth =1
32,9339,Weston Way,814,886,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =48.03; sdi =10.74; age =30,mesh_cracks =38.57; shove =0.91; poth =0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9339,Weston Way,886,939,All,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =10.26; sdi =10.91; age =17,mesh_cracks =2.41; shove =1.49; poth =0.46,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =6.32; sdi =11.63; age =7,mesh_cracks =1.67; shove =0; poth =0,,,,,,,,,,,,,,,
34,9339,Weston Way,965,1051,All,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =7.01; sdi =7.47; age =17,mesh_cracks =2.41; shove =1.09; poth =0.18,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.45; sdi =7.08; age =6,mesh_cracks =1.62; shove =0; poth =0,,,,,,,,,,,,,,,,,,
35,9339,Weston Way,1051,1219,All,,,,,,,ChipSeal_P,pdi =1.13; sdi =1.12; age =17,mesh_cracks =0.22; shove =0.08; poth =0.08,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.87; sdi =13.13; age =8,mesh_cracks =1.6; shove =0; poth =1,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =13.09; sdi =13.58; age =8,mesh_cracks =1.77; shove =1; poth =1
36,9339,Weston Way,1237,1589,All,,,,ChipSeal_P,pdi =2.9; sdi =0.1; age =16,mesh_cracks =0.3; shove =2.5; poth =0.01,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.93; sdi =13.25; age =8,mesh_cracks =1.65; shove =1; poth =1,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =13.18; sdi =13.75; age =8,mesh_cracks =1.85; shove =1; poth =1,,,
37,9339,Weston Way,1589,1999,All,,,,,,,ChipSeal_P,pdi =4.44; sdi =1.54; age =17,mesh_cracks =0.53; shove =2.66; poth =0.12,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.98; sdi =13.36; age =8,mesh_cracks =1.67; shove =1; poth =1,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =13.21; sdi =13.82; age =8,mesh_cracks =1.87; shove =1; poth =1
38,9339,Weston Way,1999,2369,All,,,,ChipSeal_P,pdi =2.9; sdi =0.1; age =16,mesh_cracks =0.3; shove =2.5; poth =0.01,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.36; sdi =12.37; age =8,mesh_cracks =1.14; shove =0; poth =1,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.58; sdi =12.8; age =8,mesh_cracks =1.32; shove =0; poth =1,,,
39,9339,Weston Way,2385,2696,All,,,,,,,ChipSeal_P,pdi =2.48; sdi =2.55; age =17,mesh_cracks =1.4; shove =0.08; poth =0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.56; sdi =13.22; age =11,mesh_cracks =1.3; shove =0; poth =1,,,,,,,,,,,,,,,,,,
40,9339,Weston Way,2696,3114,All,,,,ChipSeal_P,pdi =0.54; sdi =0.45; age =16,mesh_cracks =0.4; shove =0; poth =0,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.37; sdi =12.39; age =8,mesh_cracks =1.14; shove =0; poth =1,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.57; sdi =12.77; age =8,mesh_cracks =1.31; shove =0; poth =1,,,
41,9339,Weston Way,3114,3398,All,,,,,,,,,,ChipSeal_P,pdi =3.36; sdi =2.61; age =18,mesh_cracks =1.36; shove =0.16; poth =0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.5; sdi =12.93; age =11,mesh_cracks =1.25; shove =0; poth =1,,,,,,,,,,,,,,,
42,9339,Weston Way,3398,3457,All,,,,,,,,,,,,,ChipSeal_P,pdi =3.87; sdi =4.08; age =22,mesh_cracks =0.34; shove =1.04; poth =0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =13.39; sdi =13.23; age =14,mesh_cracks =1.53; shove =1; poth =1,,,
43,9339,Weston Way,3457,3675,All,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =7.61; sdi =8.28; age =23,mesh_cracks =1.48; shove =1.32; poth =0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,9167,Foxglove Drive,0,668,All,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.89; sdi =3.7; age =19,mesh_cracks =3.61; shove =1; poth =0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,16,Sarah Lane,0,515,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.62; sdi =6.53; age =20,mesh_cracks =0.66; shove =0.34; poth =0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,17,Ash Drive,0,318,All,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.15; sdi =5.46; age =11,mesh_cracks =1.8; shove =1; poth =0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.9; sdi =13.96; age =11,mesh_cracks =1.59; shove =0; poth =1,,,
47,18,Monaghan Way,0,80,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.33; sdi =5.91; age =16,mesh_cracks =1.29; shove =1.07; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1035,Cousins Avenue East,0,61,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =9.99; sdi =10.41; age =36,mesh_cracks =1.08; shove =0.75; poth =0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,19,Elm Close,0,82,All,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.07; sdi =5.78; age =12,mesh_cracks =1.77; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,19,Elm Close,82,101,All,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =5.23; sdi =6.23; age =12,mesh_cracks =0.97; shove =1.16; poth =0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,20,Burkes Creek Road,0,21,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.69; sdi =5.72; age =14,mesh_cracks =0.7; shove =1.25; poth =0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.53; sdi =13.73; age =9,mesh_cracks =1.27; shove =1; poth =1,,,,,,,,,,,,,,,
52,20,Burkes Creek Road,21,520,All,,,,,,,,,,,,,ChipSeal_P,pdi =4.4; sdi =4.4; age =13,mesh_cracks =0.49; shove =1.16; poth =0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.53; sdi =13.73; age =9,mesh_cracks =1.27; shove =1; poth =1,,,,,,,,,,,,,,,,,,
53,20,Burkes Creek Road,549,697,All,,,,,,,,,,ChipSeal_P,pdi =3.41; sdi =3.42; age =14,mesh_cracks =1.35; shove =0.15; poth =0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.49; sdi =12.62; age =9,mesh_cracks =1.24; shove =1; poth =1,,,,,,,,,,,,,,,,,,,,,
54,20,Burkes Creek Road,697,765,All,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =6.16; sdi =7.56; age =17,mesh_cracks =1.4; shove =1.16; poth =0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,20,Burkes Creek Road,765,1789,All,,,,,,,,,,ChipSeal_P,pdi =2.44; sdi =3.53; age =14,mesh_cracks =0.29; shove =0.15; poth =0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =12.5; sdi =12.64; age =9,mesh_cracks =1.25; shove =1; poth =1,,,,,,,,,,,,,,,,,,,,,
56,21,Tapeka Heights Lane,0,277,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.26; sdi =5.39; age =21,mesh_cracks =1; shove =0.36; poth =0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,22,Sir John McKenzie Drive,0,530,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.64; sdi =5.46; age =12,mesh_cracks =0.59; shove =1.16; poth =0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,23,Apple Orchard Lane,0,185,All,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.93; sdi =6.33; age =42,mesh_cracks =0.73; shove =0.43; poth =0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,974,Railway Terrace East,0,730,All,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.8; sdi =5.37; age =17,mesh_cracks =1.9; shove =1.15; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,24,George Noble Road,0,272,All,,,,,,,,,,,,,ChipSeal_P,pdi =3.55; sdi =5.56; age =12,mesh_cracks =0.51; shove =1.08; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.7; sdi =13.94; age =14,mesh_cracks =1.42; shove =0; poth =1,,,
61,24,George Noble Road,272,286,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =8.3; sdi =12.73; age =20,mesh_cracks =1.95; shove =1.08; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,
62,25,Founders Lane,0,597,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.2; sdi =5.43; age =14,mesh_cracks =2.03; shove =0; poth =0,,,,,,,,,,,,,,,,,,,,,
63,26,Stud Road,0,205,All,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.33; sdi =5.3; age =14,mesh_cracks =0.99; shove =1.08; poth =0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.54; sdi =13.15; age =11,mesh_cracks =1.29; shove =0; poth =1,,,,,,
64,27,Gallop Lane,0,116,All,,,,,,,,,,,,,ChipSeal_P,pdi =3.27; sdi =4.19; age =11,mesh_cracks =0.39; shove =1; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.35; sdi =13.19; age =15,mesh_cracks =1.11; shove =0; poth =1
65,27,Gallop Lane,116,136,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =5.02; sdi =6.17; age =20,mesh_cracks =1.11; shove =1.07; poth =0.2,,,,,,,,,,,,,,,,,,,,,
66,7056,Dawick Street,0,78,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.33; sdi =5.28; age =12,mesh_cracks =0.53; shove =1.08; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,7056,Dawick Street,78,88,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =19.08; sdi =29.6; age =21,mesh_cracks =5.14; shove =1.15; poth =0.31,,,,,,,,,,,,,,,,,,
68,28,Stirrup Lane,0,261,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.8; sdi =5.8; age =12,mesh_cracks =1.73; shove =1.16; poth =0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,29,Riroriro Road,0,122,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.36; sdi =6.01; age =12,mesh_cracks =1.54; shove =1.08; poth =0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,29,Riroriro Road,122,139,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =4.64; sdi =5.67; age =20,mesh_cracks =1.11; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,30,Curly McLeod Way,0,69,All,,,,,,,,,,,,,ChipSeal_P,pdi =4.67; sdi =6.64; age =20,mesh_cracks =0.35; shove =0.23; poth =0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,30,Curly McLeod Way,69,82,All,,,,,,,,,,,,,,,,Preseal_AC,pdi =13.68; sdi =5.25; age =43,mesh_cracks =9.52; shove =0.33; poth =0.33,,,,,,,,,,,,,ThinAC_H,pdi =14.4; sdi =12.72; age =4,mesh_cracks =3.11; shove =1; poth =1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,32,Karearea Lane,0,56,All,,,,,,,,,,,,,,,,,,,,,,Preseal_AC,pdi =10.78; sdi =10.41; age =34,mesh_cracks =1.31; shove =0.53; poth =0.87,,,,,,,,,,ThinAC_H,pdi =1.24; sdi =0.61; age =3,mesh_cracks =1; shove =0; poth =0,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,32,Karearea Lane,84,154,All,,,,ChipSeal_P,committed,committed import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =14.05; sdi =14.53; age =18,mesh_cracks =1.71; shove =1; poth =1
75,32,Karearea Lane,154,820,All,,,,ChipSeal_P,committed,committed import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =11.53; sdi =13.89; age =15,mesh_cracks =1.25; shove =0; poth =1,,,,,,,,,
76,32,Karearea Lane,820,1262,All,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.37; sdi =5.54; age =13,mesh_cracks =1.41; shove =1.15; poth =0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,33,Okoare Lane,0,58,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =5.82; sdi =6.6; age =15,mesh_cracks =1.94; shove =1.07; poth =0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,35,Leicester Place,0,660,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.03; sdi =5.04; age =11,mesh_cracks =2.01; shove =0; poth =0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,36,Paneika Lane,0,370,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =4.24; sdi =5.99; age =17,mesh_cracks =1.85; shove =0; poth =0,,,,,,,,,,,,,,,,,,,,,
80,36,Paneika Lane,370,391,All,,,,,,,,,,,,,,,,,,,ChipSeal_P,pdi =6.21; sdi =6.42; age =25,mesh_cracks =0.94; shove =0.44; poth =0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,36,Paneika Lane,391,520,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =6.33; sdi =6.92; age =13,mesh_cracks =2.4; shove =1; poth =0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,37,Freemason Avenue,0,149,All,,,,,,,,,,,,,,,,ChipSeal_P,pdi =4.47; sdi =5.49; age =20,mesh_cracks =0.58; shove =0.33; poth =0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,37,Freemason Avenue,149,172,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ThinAC_P,pdi =4.9; sdi =5.62; age =20,mesh_cracks =1.41; shove =1.07; poth =0.17,,,,,,,,,,,,,,,
